DT_MAJ_GDUNO,CD_ORGNS,NOM_COURT,NOM_OFFCL,ADRS_GEO_L1_GDUNO,ADRS_GEO_L2_GDUNO,CD_MUNCP,NOM_MUNCP,STAT_MUNCP,CD_POSTL_GDUNO,TYPE_ORGNS,RESEAU,SITE_WEB,COORD_X_LL84,COORD_Y_LL84,ORDRE_ENS,STYLE_CART,CD_REG_ADM,NOM_MRC,NOM_REG_ADM,NOM_CEP,LANG_ENS
,902000,Cégep Limoilou,Cégep Limoilou,"1300, 8e Avenue",,23027,Québec,V,G1J5L5,Cégep,Public,http://www.cegeplimoilou.ca,-71.227303,46.829949,Collégial,1_Public,03,Québec,Capitale-Nationale,Jean-Lesage,français
,902002,Cégep Limoilou (Campus Charlesbourg),"Cégep Limoilou, campus de Charlesbourg","7600, 3e Avenue Est",,23027,Québec,V,G1H7L4,Centre d'enseignement,Public,http://www.cegeplimoilou.ca,-71.26066,46.861673,Collégial,1_Public,03,Québec,Capitale-Nationale,Charlesbourg,français
,903000,Cégep de Sainte-Foy,Cégep de Sainte-Foy,"2410, chemin Sainte-Foy",,23027,Québec,V,G1V1T3,Cégep,Public,http://www.cegep-ste-foy.qc.ca/,-71.286551,46.786243,Collégial,1_Public,03,Québec,Capitale-Nationale,Jean-Talon,français
,903090,Centre en foresterie de Ste-Foy inc.,Centre d'enseignement et de recherche en foresterie de Ste-Foy  inc.,2440 chemin Sainte-Foy,,23027,Québec,V,G1V1T2,Centre collégial de transfert de technologie,Public,http://www.cerfo.qc.ca/,-71.28542,46.785081,Collégial,1_Public,03,Québec,Capitale-Nationale,Jean-Talon,
,903091,Centre imag. numérique-médias interact.,Centre en imagerie numérique et médias interactifs (CIMMI),"2440, chemin Sainte-Foy",,23027,Québec,V,G1V1T2,Centre collégial de transfert de technologie,Public,http://www.cimmi.qc.ca,-71.28542,46.785081,Collégial,1_Public,03,Québec,Capitale-Nationale,Jean-Talon,
,904000,Cégep de Sherbrooke,Cégep de Sherbrooke,"475, rue du Cégep",,43027,Sherbrooke,V,J1E4K1,Cégep,Public,http://cegepsherbrooke.qc.ca/,-71.886249,45.411134,Collégial,1_Public,05,Sherbrooke,Estrie,Saint-François,français
,904001,Cégep de Granby,Cégep de Granby,"235, rue Saint-Jacques",,47017,Granby,V,J2G3N1,Cégep,Public,http://www.cegepgranby.qc.ca,-72.730172,45.399337,Collégial,1_Public,05,La Haute-Yamaska,Estrie,Granby,français
,904002,Site d'enseignement d'Asbestos,Site d'enseignement d'Asbestos,"360, boulevard Saint-Luc",,40043,Val-des-Sources,V,J1T2W5,Centre d'enseignement,Public,www.cegepsherbrooke.qc.ca,-71.937666,45.77872,Collégial,1_Public,05,Les Sources,Estrie,Richmond,français
,904090,Productique Québec inc.,Productique Québec inc.,"720, rue Longpré",,43027,Sherbrooke,V,J1G4L3,Centre collégial de transfert de technologie,Public,http://www.productique.quebec,-71.859039,45.397303,Collégial,1_Public,05,Sherbrooke,Estrie,Saint-François,
,905000,Cégep de Trois-Rivières,Cégep de Trois-Rivières,"3500, rue De Courval",Case postale 97,37067,Trois-Rivières,V,G9A5E6,Cégep,Public,http://www.cegeptr.qc.ca/,-72.572851,46.355241,Collégial,1_Public,04,Trois-Rivières,Mauricie,Trois-Rivières,français
,905090,Innofibre,Innofibre - Centre d'innovation des produits cellulosiques,"3351, boulevard des Forges",Case postale 500,37067,Trois-Rivières,V,G9A5H7,Centre collégial de transfert de technologie,Public,http://www.cspp.qc.ca/,-72.57778,46.348038,Collégial,1_Public,04,Trois-Rivières,Mauricie,Trois-Rivières,
