DT_MAJ_GDUNO,COMBINE_NUO_NUI,CD_ORGNS,NOM_COURT_ORGNS,NOM_OFFCL_ORGNS,ADRS_GEO_L1_GDUNO_ORGNS,ADRS_GEO_L2_GDUNO_ORGNS,CD_POSTL_GDUNO_ORGNS,CD_MUNCP_GDUNO_ORGNS,NOM_MUNCP_GDUNO_ORGNS,CD_IMM,NOM_IMM,ADRS_GEO_L1_GDUNO_IMM,ADRS_GEO_L2_GDUNO_IMM,CD_MUNCP_GDUNO_IMM,NOM_MUNCP_GDUNO_IMM,CD_POSTL_GDUNO_IMM,PRESC,PRIM,SEC,FORM_PRO,ADULTE,SITE_WEB_ORGNS,COORD_X_LL84_IMM,COORD_Y_LL84_IMM,ORDRE_ENS,CD_CS,TYPE_CS,STYLE_CART,NOM_MUNCP,NOM_MRC,NOM_REG_ADM,NOM_CEP,NOM_CS
,110061749,752034,École de Carillon,École de Carillon,"43, rue de Carillon",,J1J2K9,43027,Sherbrooke,752164,Carillon,"43, rue Carillon",,43027,Sherbrooke,J1J2K9,1,1,0,0,0,http://www.csrs.qc.ca/etablissements,-71.935224,45.399397,Préscolaire - Primaire,752000,Franco,4_OrgImm_Franco_presc_prim,Sherbrooke,Sherbrooke,Estrie,Sherbrooke,Centre de services scolaire de la Région-de-Sherbrooke
,110071757,752035,École Notre-Dame-des-Champs,École Notre-Dame-des-Champs,"222, 8e Rang Est",,J0B3G0,42005,Stoke,752179,Notre-Dame-des-Champs,"222, 8e Rang Est",,42005,Stoke,J0B3G0,1,1,0,0,0,http://www.csrs.qc.ca/etablissements,-71.803515,45.533079,Préscolaire - Primaire,752000,Franco,4_OrgImm_Franco_presc_prim,Stoke,Le Val-Saint-François,Estrie,Mégantic,Centre de services scolaire de la Région-de-Sherbrooke
,110081759,752037,École de la Source-Vive,École de la Source-Vive,"125, rue du Collège",,J0B1A0,41055,Ascot Corner,752182,"Source-Vive, de la","125, rue du Collège",,41055,Ascot Corner,J0B1A0,1,1,0,0,0,http://www.csrs.qc.ca/etablissements,-71.768931,45.450527,Préscolaire - Primaire,752000,Franco,4_OrgImm_Franco_presc_prim,Ascot Corner,Le Haut-Saint-François,Estrie,Mégantic,Centre de services scolaire de la Région-de-Sherbrooke
,110091745,752038,École Brébeuf,École Brébeuf,"1875, rue Albert-Skinner",,J1J1W8,43027,Sherbrooke,752158,Brébeuf,"1875, rue Albert-Skinner",,43027,Sherbrooke,J1J1W8,1,1,0,0,0,http://www.csrs.qc.ca/etablissements,-71.920197,45.401821,Préscolaire - Primaire,752000,Franco,4_OrgImm_Franco_presc_prim,Sherbrooke,Sherbrooke,Estrie,Sherbrooke,Centre de services scolaire de la Région-de-Sherbrooke
,103591476,741302,Centre éduc.des adultes des Forges,Centre d'éducation des adultes des Forges,"1600, des Récollets",,G8Y0K4,37067,Trois-Rivières,741110,DLS,"1600, boulevard des Récollets",,37067,Trois-Rivières,G8Y0K4,0,0,0,0,1,https://planifietonavenir.csscdr.gouv.qc.ca/formation-generale-des-adultes/,-72.582836,46.351176,Éducation aux adultes,741000,Franco,9_OrgImm_Franco_Adu,Trois-Rivières,Trois-Rivières,Mauricie,Trois-Rivières,Centre de services scolaire du Chemin-du-Roy
,103591478,741302,Centre éduc.des adultes des Forges,Centre d'éducation des adultes des Forges,"1600, des Récollets",,G8Y0K4,37067,Trois-Rivières,741111,Chavigny,"365, rue Chavigny",,37067,Trois-Rivières,G9B1A7,0,0,0,0,1,https://planifietonavenir.csscdr.gouv.qc.ca/formation-generale-des-adultes/,-72.58455,46.312978,Éducation aux adultes,741000,Franco,9_OrgImm_Franco_Adu,Trois-Rivières,Trois-Rivières,Mauricie,Maskinongé,Centre de services scolaire du Chemin-du-Roy
,103591480,741302,Centre éduc.des adultes des Forges,Centre d'éducation des adultes des Forges,"1600, des Récollets",,G8Y0K4,37067,Trois-Rivières,741112,"Tremplin, le","100, rivière à Veillet",,37215,Sainte-Geneviève-de-Batiscan,G0X2R0,0,0,0,0,1,https://planifietonavenir.csscdr.gouv.qc.ca/formation-generale-des-adultes/,-72.343822,46.543603,Éducation aux adultes,741000,Franco,9_OrgImm_Franco_Adu,Sainte-Geneviève-de-Batiscan,Les Chenaux,Mauricie,Champlain,Centre de services scolaire du Chemin-du-Roy
,103591482,741302,Centre éduc.des adultes des Forges,Centre d'éducation des adultes des Forges,"1600, des Récollets",,G8Y0K4,37067,Trois-Rivières,741113,"Pionniers, secondaire des","1725, boulevard du Carmel",,37067,Trois-Rivières,G8Z3R8,0,0,0,0,1,https://planifietonavenir.csscdr.gouv.qc.ca/formation-generale-des-adultes/,-72.561086,46.351771,Éducation aux adultes,741000,Franco,9_OrgImm_Franco_Adu,Trois-Rivières,Trois-Rivières,Mauricie,Trois-Rivières,Centre de services scolaire du Chemin-du-Roy
,103595660,741302,Centre éduc.des adultes des Forges,Centre d'éducation des adultes des Forges,"1600, des Récollets",,G8Y0K4,37067,Trois-Rivières,741158,CFP Qualitech,"500, rue des Érables",,37067,Trois-Rivières,G8T5J1,0,0,0,0,1,https://planifietonavenir.csscdr.gouv.qc.ca/formation-generale-des-adultes/,-72.522544,46.379752,Éducation aux adultes,741000,Franco,9_OrgImm_Franco_Adu,Trois-Rivières,Trois-Rivières,Mauricie,Champlain,Centre de services scolaire du Chemin-du-Roy
,103596695,741302,Centre éduc.des adultes des Forges,Centre d'éducation des adultes des Forges,"1600, des Récollets",,G8Y0K4,37067,Trois-Rivières,741798,Établissement de Trois-Rivières,"7600, boulevard Parent",,37067,Trois-Rivières,G9A5E1,0,0,0,0,1,https://planifietonavenir.csscdr.gouv.qc.ca/formation-generale-des-adultes/,-72.625422,46.366855,Éducation aux adultes,741000,Franco,9_OrgImm_Franco_Adu,Trois-Rivières,Trois-Rivières,Mauricie,Trois-Rivières,Centre de services scolaire du Chemin-du-Roy
