DT_MAJ_GDUNO,CD_ORGNS,NOM_COURT,NOM_OFFCL,ADRS_GEO_L1_GDUNO,ADRS_GEO_L2_GDUNO,CD_MUNCP,NOM_MUNCP,STAT_MUNCP,CD_POSTL_GDUNO,TYPE_ORGNS,RESEAU,SITE_WEB,COORD_X_LL84,COORD_Y_LL84
,335500,Coll. St-Joseph de Hull,Collège Saint-Joseph de Hull,"174, rue Notre-Dame-de-l'ÎIe",,81017,Gatineau,V,J8X3T4,Établissement d'enseignement privé,Privé,www.collegestjoseph.ca,-75.710378,45.431405
,336500,Éc. sec. St-Joseph St-Hyac.,École secondaire Saint-Joseph de Saint-Hyacinthe,"2875, ave Bourdages Nord",,54048,Saint-Hyacinthe,V,J2S5S3,Établissement d'enseignement privé,Privé,www.essj.qc.ca,-72.964217,45.632777
,337500,Collège Saint-Sacrement,Collège Saint-Sacrement,"901, rue Saint-Louis",,64008,Terrebonne,V,J6W1K1,Établissement d'enseignement privé,Privé,www.collegesaintsacrement.qc.ca,-73.637612,45.696245
,338500,École Selwyn House,École Selwyn House,"95, chemin de la Côte-Saint-Antoine",,66032,Westmount,V,H3Y2H8,Établissement d'enseignement privé,Privé,www.selwyn.ca,-73.59748,45.486131
,345500,École Vanguard,École Vanguard,"5935, chemin de la Côte-de-Liesse",,66023,Montréal,V,H4T1C3,Établissement d'enseignement privé,Privé,www.vanguardquebec.qc.ca,-73.683734,45.49155
,347500,École de la Synergie,École de la Synergie,"7445, avenue de Chester",,66023,Montréal,V,H4V1M4,Établissement d'enseignement privé,Privé,https://www.esynergie.ca,-73.654803,45.459612
,348500,Éducation Plus,Éducation Plus,"1275, rue Hodge",,66023,Montréal,V,H4N2B1,Établissement d'enseignement privé,Privé,edplus.ca,-73.667284,45.509941
,349500,Externat Mont-Jésus-Marie,Externat Mont-Jésus-Marie,"2755, chemin de la Côte-Sainte-Catherine",,66023,Montréal,V,H3T1B5,Établissement d'enseignement privé,Privé,www.montjesusmarie.com,-73.62201,45.506759
,375500,Institut technique Aviron de Montréal,Institut technique Aviron de Montréal,"5460, avenue Royalmount",,66072,Mont-Royal,V,H4P1H7,Établissement d'enseignement privé,Privé,www.avirontech.com,-73.662835,45.496054
,377500,Juvénat Notre-Dame du Saint-Laurent,Juvénat Notre-Dame du Saint-Laurent,"30, rue du Juvénat",,25213,Lévis,V,G6W7X2,Établissement d'enseignement privé,Privé,www.jnd.qc.ca,-71.235499,46.761893
,380500,L'Académie Centennial,L'Académie Centennial,"2065, rue Sherbrooke Ouest",,66023,Montréal,V,H3H1G6,Établissement d'enseignement privé,Privé,www.centennial.qc.ca,-73.586766,45.493525
,408500,Le Collège Lower Canada,Le Collège Lower Canada,"4090, avenue Royal",,66023,Montréal,V,H4A2M5,Établissement d'enseignement privé,Privé,www.lcc.ca,-73.624113,45.470475
,410500,École secondaire Loyola,École secondaire Loyola,"7272, rue Sherbrooke Ouest ",,66023,Montréal,V,H4B1R2,Établissement d'enseignement privé,Privé,www.loyola.ca,-73.63894,45.456681
,426500,Académie des Sacrés-Coeurs,Académie des Sacrés-Coeurs,"1575, rang des Vingt",,58037,Saint-Bruno-de-Montarville,V,J3V4P6,Établissement d'enseignement privé,Privé,www.academiedessacrescoeurs.ca,-73.294795,45.541463
,434500,Pens. du St-Nom de Marie,Pensionnat du Saint-Nom-de-Marie,"628, chemin de la Côte-Sainte-Catherine",,66023,Montréal,V,H2V2C5,Établissement d'enseignement privé,Privé,www.psnm.qc.ca,-73.613168,45.512113
,435500,Pensionnat Notre-Dame-des-Anges,Pensionnat Notre-Dame-des-Anges,"5680, boulevard Rosemont",,66023,Montréal,V,H1T2H2,Établissement d'enseignement privé,Privé,www.pnda.qc.ca,-73.560568,45.576014
,436500,Externat Saint-Coeur de Marie,Externat Saint-Coeur de Marie,"28, avenue des Cascades",,23027,Québec,V,G1E2J8,Établissement d'enseignement privé,Privé,www.externat-scm.ca,-71.200223,46.862688
,444500,Séminaire de Chicoutimi,Séminaire de Chicoutimi - services éducatifs,"679, rue Chabanel ",,94068,Saguenay,V,G7H1Z7,Établissement d'enseignement privé,Privé,www.seminairedechicoutimi.ca,-71.03712,48.41814
,445500,Collège Trinité,Collège Trinité,"1475, chemin des Vingt",,58037,Saint-Bruno-de-Montarville,V,J3V4P6,Établissement d'enseignement privé,Privé,www.collegetrinite.ca,-73.30232,45.535601
,446500,Sém. de Sherbrooke,Séminaire de Sherbrooke,"195, rue Marquette ",,43027,Sherbrooke,V,J1H1L6,Établissement d'enseignement privé,Privé,www.seminaire-sherbrooke.qc.ca,-71.894517,45.403012
