
RANG; NOM DE RÈGNE DU PAPE;	DÉBUT DU PONTIFICAT; FIN DU PONTIFICAT; NOM DE NAISSANCE; LIEU DE NAISSANCE
1	Pierre;		            33  67;	                	Bethsaïde en Galilée
232	Léon XI;	            1,10.IV.1605	27.IV.1605;	Alexandre de Médicis;Florence (Italie)
233	Paul V;	                16,29.V.1605	28.I.1621;	Camille Borghèse;Rome
234	Grégoire XV;	        9,14.II.1621	8.VII.1623;	Alessandro Ludovisi;Bologne (Italie)
235	Urbain VIII;	        6.VIII, 29.IX.1623	29.VII.1644;	Maffeo Barberini;Florence (Italie)
236	Innocent X;	            15.IX,4.X.1644	7.I.1655;	Giovanni Battista Pamphili;Rome
237	Alexandre VII;	        7,18.IV.1655	22.V.1667;	Fabio Chigi;Sienne (Italie)
238	Clément IX;	            20,26.VI.1667	9.XII.1669;	Giulio Rospigliosi;Pistoia (Italie)
239	Clément X;	            29.IV,11.V.1670	22.VII.1676;	Emilio Altieri;Rome
240	Innocent XI;	        21.IX, 4.X.1676	12.VIII.1689;	Benedetto Odescalchi;Côme (Italie)
241	Alexandre VIII;	        6,16.X.1689	1.II.1691;	Pietro Ottoboni;Venise (Italie)
242	Innocent XII;	        12,15.VII.1691	27.IX.1700;	Antonio Pignatelli;Spinazzola (Italie)
243	Clément XI;	            23,30.XI, 8.XII.1700	19.III.1721;	Giovanni Francesco Albani;Urbin (Italie)
244	Innocent XIII;          8,18.V.1721	7.III.1724;	Michelangelo Conti;Poli (Italie)
245	Benoît XIII;	        29.V, 4.VI.1724	21.II.1730;	Pietro Francesco (Vincenzo Maria) Orsini;Gravina (Italie)
246	Clément XII;	        12,16.VII.1730	6.II.1740;	Lorenzo Corsini;Florence (Italie)
247	Benoît XIV;	            17,22.VIII.1740	3.V.1758;	Prospero Lambertini;Bologne (Italie)
248	Clément XIII;	        6,16.VII.1758	2.II.1769;	Carlo Rezzonico;Venise (Italie)
249	Clément XIV;	        19,28.V, 4.VI.1769	22.IX.1774;	Giovanni Vincenzo Antonio (Lorenzo) Ganganelli;Sant'Arcangelo di Romagna (Italie)
250	Pie VI;	                15,22.II.1775	29.VIII.1799;	Giannangelo Braschi;Cesena (Italie)
251	Pie VII;	            14,21.III.1800	20.VIII.1823;	Barnaba (Gregorio) Chiaramonti;Cesena (Italie)
252	Léon XII;	            28.IX, 5.X.1823	10.II.1829;	Annibale Sermattei della Genga;Monticelli di Genga (Italie)
253	Pie VIII;	            31.III, 5.IV.1829	30.XI.1830;	Francesco Saverio Castiglioni;Cingoli (Italie)
254	Grégoire XVI;         	2,6.II.1831	1.VI.1846;	Bartolomeo Alberto (Mauro) Cappellari;Belluno (Italie)
255	Pie IX;	                16,21.VI.1846	7.II.1878;	Giovanni Maria Mastai Ferretti;Senigallia (Italie)
256	Léon XIII;            	20.II, 3.III.1878	20.VII.1903;	Vincenzo Gioacchino Pecci;Carpineto Romano (Italie)
257	Pie X;	                4,9.VIII.1903	20.VIII.1914;	Giuseppe Melchiorre Sarto;Riese (Italie)
258	Benoît XV;            	3,6.IX.1914	22.I.1922;	Giacomo della Chiesa
259	Pie XI;	                6,12.II.1922	10.II.1939;	Achille Ratti;Desio (Italie)
260	Pie XII;	            2,12.III.1939	9.X.1958;	Eugenio Pacelli;Rome
261	Jean XXIII;	            28.X, 4.XI.1958	3.VI.1963;	Angelo Giuseppe Roncalli;Sotto il Monte, Bergame (Italie)
262	Paul VI;	            21,30.VI.1963	6.VIII.1978;	Giovanni Battista Montini;Concesio, Brescia (Italie)
263	Jean-Paul Ier;       	26.VIII, 3.IX.1978	28.IX.1978;	Albino Luciani;Forno di Canale, Belluno (Italie)
264	Jean-Paul II;	        16,22.X.1978	2.IV.2005;	Karol Wojtyła;Wadowice, Cracovie (Pologne)
265	Benoît XVI;	            19,24.IV.2005	28.II.2013;	Joseph Ratzinger;Marktl am Inn, Bavière (Allemagne)
266	François;	            13,19.III.2013;		Jorge Mario Bergoglio;Buenos Aires (Argentine)



